ranking,name,corpus,ns_code,f1_promedio,n_filas,n_tipos
1,alma-a1-nsb,a1,nsb,0.5678432941772654,4,4
2,verag-a2-nsm,a2,nsm,0.5447460552457102,4,4
3,franciscop-a2-nsm,a2,nsm,0.5138932179859791,4,4
4,amparol-a1-nsb,a1,nsb,0.5021905949783733,4,4
5,dantep-a1-nsm,a1,nsm,0.49210209754515905,4,4
6,dianag-a1-nsb,a1,nsb,0.4751312947480529,4,4
7,lisandroh-a2-nsm,a2,nsm,0.4696791218153809,4,4
8,lucior-a2-nsm,a2,nsm,0.46653324931882384,4,4
9,angelinap-a1-nsm,a1,nsm,0.4641169683820727,4,4
10,julietap-a1-nsm,a1,nsm,0.46061480422242806,4,4
11,manuelc-a2-nsm,a2,nsm,0.45905425583567505,4,4
12,lucasyoelp-a2-nsb,a2,nsb,0.4443683873934964,4,4
13,dantec-a1-nsm,a1,nsm,0.43893966461268086,4,4
14,ummaq-a2-nsb,a2,nsb,0.39313292912195175,4,4
15,biancak-a2-nsb,a2,nsb,0.3837674836257576,4,4
16,francescam-a2-nsm,a2,nsm,0.3644711498383767,4,4
17,valentinos-a1-nsb,a1,nsb,0.35801088647883295,4,4
18,camilop-a2-nsb,a2,nsb,0.32073696371669125,4,4
19,Gaell-a1-nsb,a1,nsb,0.08920034272396407,4,4
